"","id","name","longitude","latitude","provider"
"58","784912847","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"59","784912957","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"60","784912680","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"61","784912678","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"62","784912815","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"63","784912730","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"64","784912724","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"65","784912726","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"66","784912817","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"67","784912777","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"68","784912813","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"69","784912807","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"70","784912819","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"71","784912805","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"72","784912803","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"73","784912775","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"74","784912845","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"75","784912839","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"76","784912965","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"77","784912889","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"78","784912851","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"79","784912849","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"80","784912959","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"81","784912919","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"82","784912917","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"83","784912915","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"84","784912941","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"85","784912963","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"86","784912961","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"87","784913000","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"88","784912728","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"89","784912505","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"90","784912517","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"91","784913065","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"92","784913042","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"93","784913056","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"94","784913016","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"95","784913006","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"96","784913063","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"97","784913008","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"98","784913012","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"99","784913014","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"100","784913004","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"101","784913010","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"102","784913046","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"103","784913044","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"104","784913052","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"105","784913048","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"106","784913050","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"107","784913059","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"108","784913951","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"109","784912722","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"110","784912943","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"111","784912769","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"112","784912424","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"113","784912426","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"114","784912773","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
"115","784913061","Bison bison",-110.455001831055,44.6439018249512,"University of Wyoming Museum of Vertebrates"
